fecha,hasta,candidatas,cobertura universo,retorno,spy,universo_ew,turnover_pct,capital,spy_capital,universo_capital
2016-01-02,2016-04-04,"ICE, BKNG, GT, HSIC, FAST, ROP, CTAS, DHR, BF-B, NVDA",254/470,0.035802118528974136,0.03130927561690311,0.04423693693686276,,1.035802118528974,1.031309275616903,1.0442369369368627
2016-04-02,2016-07-05,"FAST, GOOG, HSIC, CME, CPRI, ICE, BRK-B, BKNG, LRCX, CINF",267/476,-0.00041345333019889854,0.015727913753366574,0.018972794778923684,60.0,1.035373862693641,1.0475296189568528,1.0640490300419378
2016-07-02,2016-10-03,"GOOG, CME, CPRI, FAST, ICE, BRK-B, BKNG, HSIC, NVDA, LNT",278/479,0.059855722080613905,0.040592908667524075,0.05187922539969625,20.0,1.0973469128685633,1.0900518931056946,1.1192510695078117
2016-10-02,2017-01-03,"BKNG, CTAS, GOOG, NEE, CME, ICE, NVDA, LRCX, CSX, DHR",284/483,0.10535421224894859,0.04999345400810884,0.05524570183291184,50.0,1.2129570324376464,1.1445473522901262,1.1810848803700078
2017-01-02,2017-04-03,"BKNG, BRK-B, CSX, ALK, CTAS, GOOG, CME, BBT, LRCX, PEG",287/484,0.09437500673067177,0.049341726939596375,0.04470873715600134,40.0,1.3274298605379649,1.2010212952162636,1.2338896938453978
2017-04-02,2017-07-03,"NVDA, CTAS, FAST, ALB, BKNG, GOOG, LRCX, CSX, CME, BRK-B",292/487,0.06498272182399482,0.034254945508044976,0.03482518602195037,30.0,1.4136898659061679,1.2421622142378983,1.2768601319641313
2017-07-02,2017-10-02,"NVDA, NEE, GOOG, CSX, LRCX, BKNG, CME, CTAS, ALB, PPL",292/489,0.12462742773723134,0.04691043585210153,0.04308062623099074,20.0,1.589874397512245,1.3004325851068097,1.3318680660585316
2017-10-02,2018-01-02,"LRCX, GOOG, NVDA, NEE, CME, CF, BRK-B, CNC, CPRI, CTAS",294/492,0.11583880177955848,0.06835305297825878,0.06422145843923842,40.0,1.7740435427000607,1.3893211224912694,1.4174025757094584
2018-01-02,2018-04-02,"NVDA, LRCX, GOOG, NEE, FAST, CME, TSCO, CPRI, CNC, CF",295/491,-0.02489820984840866,-0.044251868528540905,-0.038270763037003636,20.0,1.7298730342937003,1.3278410668348608,1.3631574976064431
2018-04-02,2018-07-02,"NVDA, CME, GOOG, NEE, LRCX, MPC, FAST, BRK-B, CPRI, UNP",300/494,0.007835494589275172,0.04720953484801127,0.03183365190162019,30.0,1.7434274450940415,1.3905278259522216,1.4065517788723303
2018-07-02,2018-10-02,"NVDA, CPRT, CME, GOOG, NEE, CSX, CF, UNP, BKNG, PSA",301/496,0.07183591673291721,0.08113609891176377,0.05885765499184359,50.0,1.8686681538696996,1.5033498291782408,1.4893381182013619
2018-10-02,2019-01-02,"NVDA, CME, GOOG, CSX, ANET, SPG, ORLY, TSCO, UNP, FAST",302/496,-0.13312971820389788,-0.13738894298255622,-0.1403578128514187,50.0,1.6198928891284285,1.296806185214436,1.280297877334371
2019-01-02,2019-04-02,"CME, AVGO, FAST, BRK-B, GOOG, ORLY, CSX, ANET, TSCO, MPC",303/497,0.20474185015164986,0.17615817404109135,0.19290333519307823,30.0,1.9515527562960844,1.5252491948870042,1.5272716079127897
2019-04-02,2019-07-02,"AVGO, FAST, LRCX, ANET, NEE, CSX, CPRT, GOOG, NSC, TSCO",292/496,0.018183920663206853,0.03998267278771506,0.029762189094351837,40.0,1.987039636786635,1.586232734365897,1.5727265543059248
2019-07-02,2019-10-02,"NEE, LRCX, TSCO, CPRT, CSX, FAST, NSC, CTAS, CME, AVGO",290/497,-0.007601512649601927,-0.031491695895610405,-0.034926371579040764,20.0,1.9719351298523409,1.5362795754755836,1.5177969222780117
2019-10-02,2020-01-02,"NEE, CME, CTAS, LRCX, CPRT, BKNG, NVDA, BMY, AMAT, KLAC",296/497,0.16481171854135984,0.1241211786447105,0.10647367668226887,50.0,2.2969331474553845,1.7269644071114085,1.6794023410499834
2020-01-02,2020-04-02,"NEE, NVDA, ODFL, LRCX, GOOG, PPL, CPRT, PM, CTAS, BMY",301/499,-0.16744083265268,-0.21432084276181085,-0.28261368456925384,40.0,1.912332748697914,1.3568399399596405,1.2047802575716169
2020-04-02,2020-07-02,"NEE, ODFL, NVDA, CMG, ANET, GOOG, BIIB, CME, FAST, LRCX",329/499,0.30058009184816525,0.26356409973236805,0.29794591543008586,50.0,2.487141901945787,1.7144542372160234,1.5637396143058868
2020-07-02,2020-10-02,"NEE, NVDA, CMG, GOOG, ANET, ODFL, LRCX, CTAS, FAST, AVGO",336/501,0.09099128288781469,0.05717222155386881,0.05548943892779377,20.0,2.713450134327874,1.812473394710107,1.650510648132885
2020-10-02,2021-01-04,"NEE, CMG, NVDA, AVGO, CTAS, MNST, ODFL, ANET, PEG, MPC",338/501,0.11972904038762118,0.09006911624716074,0.13516355979528707,30.0,3.0383289150506125,1.9757212715931378,1.8735995428145524
2021-01-02,2021-04-05,"ANET, NEE, AVGO, CMG, BKR, PEG, MNST, NVDA, LRCX, MPC",341/501,0.13431602207717755,0.10548248404861904,0.14504601388346525,20.0,3.4464251686822776,2.184125259108478,2.145357688113686
2021-04-02,2021-07-02,"GOOG, ANET, LRCX, AVGO, DTE, CI, KIM, FTNT, LH, PPL",342/501,0.07016588932901066,0.07082153796643631,0.056968152230518876,70.0,3.688246655648755,2.3388083690698815,2.2675747514790605
2021-07-02,2021-10-04,"GOOG, ANET, NVDA, FTNT, LRCX, KIM, TSCO, ODFL, DTE, AOS",344/501,0.0045298552882111045,-0.006737283865996813,-0.004255076779136099,40.0,3.704953879266073,2.323051153179289,2.2579260468090867
2021-10-02,2022-01-03,"ANET, GOOG, NVDA, FTNT, CMG, TSCO, CPRT, ODFL, ORLY, CTAS",345/501,0.2116436749615367,0.11839364596048085,0.09345851720488901,40.0,4.489083933836946,2.5980856489568844,2.4689484671021606
