fecha,hasta,held,sold,bought,turnover_pct,comision_pagada
2016-01-02,2016-04-04,,,"BF-B, BKNG, BRK-B, CB, CINF, CTAS, DHR, FAST, GT, HSIC, ICE, IFF, MPC, NEE, NI, NVDA, ORLY, PPG, ROP, SPG",100.0,20.0
2016-04-02,2016-07-05,"BF-B, BKNG, BRK-B, CINF, FAST, HSIC, ICE, NEE, NVDA, ORLY, ROP, SPG","CB, CTAS, DHR, GT, IFF, MPC, NI, PPG","APH, CME, CNC, CPRI, GOOG, KIM, LRCX, O",82.53854477626568,28.0
2016-07-02,2016-10-03,"APH, BF-B, BKNG, BRK-B, CINF, CME, CPRI, FAST, GOOG, HSIC, ICE, KIM, LRCX, NEE, NVDA, ORLY","CNC, O, ROP, SPG","CMCSA, CTAS, GPC, LNT",46.75986347425493,24.0
2016-10-02,2017-01-03,"APH, BF-B, BKNG, BRK-B, CINF, CMCSA, CME, CTAS, FAST, GOOG, ICE, LRCX, NEE, NVDA, ORLY","CPRI, GPC, HSIC, KIM, LNT","CSX, DHR, PFG, PLD, URI",53.940499456223414,25.0
2017-01-02,2017-04-03,"BKNG, BRK-B, CME, CSX, CTAS, DHR, FAST, GOOG, LRCX, NEE, NVDA, URI","APH, BF-B, CINF, CMCSA, ICE, ORLY, PFG, PLD","ALK, BBT, CF, COO, LNC, PEG, UAL, UNP",83.96034327014009,28.0
2017-04-02,2017-07-03,"ALK, BKNG, BRK-B, CME, COO, CSX, CTAS, FAST, GOOG, LNC, LRCX, NEE, NVDA, URI","BBT, CF, DHR, PEG, UAL, UNP","ALB, CHTR, HST, MPC, PFG, RJF",62.113526279880396,26.0
2017-07-02,2017-10-02,"ALB, BKNG, BRK-B, CME, COO, CSX, CTAS, GOOG, LRCX, MPC, NEE, NVDA, RJF","ALK, CHTR, FAST, HST, LNC, PFG, URI","CNC, DAL, HRB, PLD, PPL, ROP, SHW",71.25247485836513,27.0
2017-10-02,2018-01-02,"ALB, BKNG, BRK-B, CME, CNC, CTAS, GOOG, LRCX, MPC, NEE, NVDA, PLD, ROP","COO, CSX, DAL, HRB, PPL, RJF, SHW","AEE, AOS, CF, CPRI, GILD, KLAC, WMT",71.50834368877857,27.0
2018-01-02,2018-04-02,"BRK-B, CF, CME, CNC, CPRI, CTAS, GOOG, LRCX, MPC, NEE, NVDA, WMT","AEE, ALB, AOS, BKNG, GILD, KLAC, PLD, ROP","AMAT, BF-B, BIIB, FAST, MU, RJF, SHW, TSCO",81.14787497474303,28.0
2018-04-02,2018-07-02,"BRK-B, CF, CME, CPRI, CTAS, FAST, GOOG, LRCX, MPC, MU, NEE, NVDA","AMAT, BF-B, BIIB, CNC, RJF, SHW, TSCO, WMT","AMZN, BKNG, CSX, FCX, PEG, PLD, UNP, URI",81.81176168727204,28.0
2018-07-02,2018-10-02,"BKNG, BRK-B, CF, CME, CSX, CTAS, FAST, GOOG, MPC, MU, NEE, NVDA, PLD, UNP","AMZN, CPRI, FCX, LRCX, PEG, URI","CPRT, ORLY, PSA, SPG, TJX, TSCO",63.61642980849983,26.0
2018-10-02,2019-01-02,"BRK-B, CF, CME, CPRT, CSX, CTAS, FAST, GOOG, MPC, NEE, NVDA, ORLY, PLD, SPG, TJX, TSCO, UNP","BKNG, MU, PSA","ANET, COO, SHW",34.257567152437865,23.0
2019-01-02,2019-04-02,"ANET, BRK-B, CME, CPRT, CSX, CTAS, FAST, GOOG, MPC, NEE, ORLY, SPG, TSCO, UNP","CF, COO, NVDA, PLD, SHW, TJX","ALK, AVGO, AZO, CINF, LRCX, O",63.72440502357454,26.0
2019-04-02,2019-07-02,"ANET, AVGO, AZO, CME, CPRT, CSX, CTAS, FAST, GOOG, LRCX, NEE, ORLY, TSCO","ALK, BRK-B, CINF, MPC, O, SPG, UNP","AOS, CMCSA, CMG, EW, KLAC, NSC, PEG",73.82270024551656,27.0
2019-07-02,2019-10-02,"ANET, AOS, AVGO, AZO, CMCSA, CME, CMG, CPRT, CSX, CTAS, FAST, GOOG, KLAC, LRCX, NEE, NSC, TSCO","EW, ORLY, PEG","BKNG, PLD, PM",36.77588794507593,23.0
2019-10-02,2020-01-02,"AOS, AVGO, BKNG, CMCSA, CME, CPRT, CSX, CTAS, GOOG, KLAC, LRCX, NEE","ANET, AZO, CMG, FAST, NSC, PLD, PM, TSCO","AMAT, BMY, CB, EW, HSY, MPC, NVDA, ZTS",82.50881561833252,28.0
2020-01-02,2020-04-02,"AVGO, BKNG, BMY, CPRT, CTAS, GOOG, KLAC, LRCX, MPC, NEE, NVDA","AMAT, AOS, CB, CMCSA, CME, CSX, EW, HSY, ZTS","BIIB, CBRE, FAST, FTNT, ODFL, PM, PPL, RJF, URI",92.57868948386985,29.0
2020-04-02,2020-07-02,"AVGO, BIIB, CPRT, FAST, GOOG, LRCX, MPC, NEE, NVDA, ODFL, PM","BKNG, BMY, CBRE, CTAS, FTNT, KLAC, PPL, RJF, URI","AMZN, ANET, BKR, CI, CME, CMG, MNST, NEM, TSCO",96.78405574442732,29.0
2020-07-02,2020-10-02,"AMZN, ANET, AVGO, BKR, CME, CMG, CPRT, FAST, GOOG, LRCX, MNST, MPC, NEE, NEM, NVDA, ODFL, TSCO","BIIB, CI, PM","ALB, AOS, CTAS",37.89786095364177,23.0
2020-10-02,2021-01-04,"ALB, AMZN, ANET, AOS, AVGO, BKR, CMG, CPRT, CTAS, FAST, GOOG, MNST, MPC, NEE, NVDA, ODFL","CME, LRCX, NEM, TSCO","AAPL, PEG, PPL, URI",47.58439069927161,24.0
2021-01-02,2021-04-05,"ANET, AVGO, BKR, CMG, CPRT, CTAS, GOOG, MNST, MPC, NEE, NVDA, PEG, URI","AAPL, ALB, AMZN, AOS, FAST, ODFL, PPL","BKNG, CBRE, CSX, DAL, KIM, KLAC, LRCX",76.29452425708605,27.0
2021-04-02,2021-07-02,"ANET, AVGO, GOOG, KIM, KLAC, LRCX","BKNG, BKR, CBRE, CMG, CPRT, CSX, CTAS, DAL, MNST, MPC, NEE, NVDA, PEG, URI","AOS, CI, DGX, DTE, DXC, FTNT, GM, HPQ, LH, MOS, ODFL, PPL, SPG, TSCO",140.92470590004606,34.0
2021-07-02,2021-10-04,"ANET, AOS, AVGO, DTE, FTNT, GM, GOOG, KIM, LH, LRCX, ODFL, PPL, SPG, TSCO","CI, DGX, DXC, HPQ, KLAC, MOS","AZO, CME, CTAS, EXR, NVDA, ORLY",64.24768416500578,26.0
2021-10-02,2022-01-03,"ANET, AVGO, AZO, CTAS, DTE, FTNT, GOOG, KIM, LRCX, NVDA, ODFL, ORLY, PPL, TSCO","AOS, CME, EXR, GM, LH, SPG","BBWI, CMG, CPRT, DGX, ESS, TECH",62.58254456297937,26.0
2022-01-02,2022-04-04,"ANET, AVGO, AZO, CPRT, CTAS, DGX, FTNT, GOOG, LRCX, NVDA, ODFL, ORLY, TSCO","BBWI, CMG, DTE, ESS, KIM, PPL, TECH","AOS, ATO, CME, EXR, FAST, KLAC, MLM",73.21526478330371,27.0
2022-04-02,2022-07-05,"ANET, ATO, AVGO, AZO, CTAS, EXR, GOOG, NVDA, ORLY, TSCO","AOS, CME, CPRT, DGX, FAST, FTNT, KLAC, LRCX, MLM, ODFL","ADM, BRK-B, CF, CI, CINF, CMG, LHX, MOS, REGN, RTX",100.32537013094993,30.0
2022-07-02,2022-10-03,"ANET, ATO, AVGO, AZO, CF, CI, CINF, CMG, CTAS, GOOG, LHX, MOS, ORLY, REGN, RTX","ADM, BRK-B, EXR, NVDA, TSCO","DGX, HPQ, MET, VICI, WY",56.17868003390978,25.0
2022-10-02,2023-01-03,"ANET, AVGO, AZO, CF, CI, CMG, CTAS, DGX, MET, ORLY, REGN, VICI","ATO, CINF, GOOG, HPQ, LHX, MOS, RTX, WY","ADM, CNP, CPRT, EVRG, EXR, LOW, MNST, MPC",81.18584321381947,28.0
2023-01-02,2023-04-03,"ADM, ANET, AVGO, AZO, CI, CMG, CPRT, CTAS, DGX, MNST, MPC, ORLY, REGN, VICI","CF, CNP, EVRG, EXR, LOW, MET","ADI, ATO, KLAC, LRCX, NFLX, PM",62.62613307472655,26.0
2023-04-02,2023-07-03,"ADI, ANET, ATO, AVGO, CMG, CPRT, CTAS, LRCX, MNST, MPC, NFLX, ORLY, REGN","ADM, AZO, CI, DGX, KLAC, PM, VICI","BEN, BKNG, BWA, FANG, ODFL, PHM, WY",72.4273678078067,27.0
2023-07-02,2023-10-02,"ANET, ATO, AVGO, BEN, CMG, CPRT, FANG, LRCX, MPC, NFLX, ODFL, ORLY, PHM, REGN, WY","ADI, BKNG, BWA, CTAS, MNST","BRK.B, EQT, MO, NRG, PNR",57.860378658833646,25.0
2023-10-02,2024-01-02,"ANET, ATO, AVGO, BRK.B, CMG, FANG, LRCX, MO, MPC, ODFL, ORLY, PHM, REGN, WY","BEN, CPRT, EQT, NFLX, NRG, PNR","ADM, AIG, BKNG, CF, CTAS, KLAC",66.02833744386855,26.0
2024-01-02,2024-04-02,"ANET, ATO, AVGO, BKNG, CF, CMG, CTAS, FANG, LRCX, MPC, ORLY, PHM, REGN","ADM, AIG, BRK.B, KLAC, MO, ODFL, WY","BLDR, BXP, CE, NFLX, NRG, VRTX, ZION",73.1485523937342,27.0
2024-04-02,2024-07-02,"ANET, AVGO, BLDR, CE, CMG, CTAS, FANG, LRCX, MPC, NFLX","ATO, BKNG, BXP, CF, NRG, ORLY, PHM, REGN, VRTX, ZION","AOS, DECK, ETR, GE, HST, KLAC, NVDA, SMCI, SPG, STLD",100.39377323012533,30.0
2024-07-02,2024-10-02,"ANET, AVGO, CMG, CTAS, DECK, ETR, FANG, GE, KLAC, LRCX, NFLX, NVDA, SMCI, SPG, STLD","AOS, BLDR, CE, HST, MPC","APH, CINF, FCX, MO, REGN",53.59788749035484,25.0
2024-10-02,2025-01-02,"ANET, CINF, CTAS, DECK, ETR, FANG, GE, MO, NFLX, NVDA","APH, AVGO, CMG, FCX, KLAC, LRCX, REGN, SMCI, SPG, STLD","AOS, CF, EOG, EQT, EXR, NEE, ORLY, PHM, PM, RMD",101.18302345258772,30.0
2025-01-02,2025-04-02,"ANET, CF, CINF, EOG, ETR, MO, NFLX, NVDA, ORLY","AOS, CTAS, DECK, EQT, EXR, FANG, GE, NEE, PHM, PM, RMD","APO, ATO, CME, DAL, FTNT, HBAN, NOW, PNR, SPG, UAL, VICI",110.83832609515807,31.0
2025-04-02,2025-07-02,"ATO, CINF, CME, ETR, FTNT, MO, NFLX, ORLY, VICI","ANET, APO, CF, DAL, EOG, HBAN, NOW, NVDA, PNR, SPG, UAL","APH, BKNG, BRK.B, CI, GM, MNST, NEM, PAYC, PM, WAT, WMT",110.03607865230943,31.0
2025-07-02,2025-10-02,"APH, ATO, BKNG, CI, CME, MNST, MO, NEM, NFLX, ORLY, PAYC, VICI","BRK.B, CINF, ETR, FTNT, GM, PM, WAT, WMT","CF, EOG, EVRG, EXR, FAST, KLAC, O, RTX",86.33994325277419,28.0
