fecha,control_composite,hurdle_5,hurdle_10
2016-01-02,0.06649523063211493,0.06649523063211471,0.06649523063211471
2016-04-02,0.030505573053413615,0.026339851823692362,0.030379938714696575
2016-07-02,0.04733315606227961,0.0765041560253541,0.07226155715755667
2016-10-02,0.08941223235224349,0.07080831289298439,0.06316561847213498
2017-01-02,0.07914840837777959,0.07708669396058965,0.07330925763121687
2017-04-02,0.05049774949298702,0.05681660944064393,0.03069376636040677
2017-07-02,0.0787704768403592,0.07169425147086006,0.05516540357509103
2017-10-02,0.08554278653609981,0.09129522445355098,0.09694671241864206
2018-01-02,-0.01688159376844911,-0.006610306643161423,-0.011728094170843528
2018-04-02,0.05354462285702466,0.06436509444820815,0.06159496560354816
2018-07-02,0.08277470804729115,0.06509868203570135,0.0741799963896359
2018-10-02,-0.13179703905865348,-0.1386711229892411,-0.1294227776493606
2019-01-02,0.18186535911657065,0.18319750896996423,0.19363809099827867
2019-04-02,0.026864802220699424,0.02596745553317259,0.037104824741242215
2019-07-02,0.012206950817781559,0.008532171337936045,0.00050354874579428
2019-10-02,0.12131995100757464,0.15082679971607638,0.13543188088559055
2020-01-02,-0.23379610423778086,-0.23002139661341836,-0.2115268475911174
2020-04-02,0.3178991821694237,0.2836941352673321,0.28885649273734937
2020-07-02,0.08259014044167667,0.08342346213498053,0.10559935100353335
2020-10-02,0.19781453689201878,0.20994588901786404,0.15618676111988927
2021-01-02,0.1464585110111618,0.12321551691098054,0.08375048312029376
2021-04-02,0.0679578100787408,0.08131020053607285,0.0769156189514657
2021-07-02,0.010796934548938042,0.012190321881719202,0.02093608209204767
2021-10-02,0.19210207540115554,0.20717751306483256,0.20358671172283982
2022-01-02,-0.08698074556357716,-0.09405316082105097,-0.09441870673850261
2022-04-02,-0.13886806027332055,-0.1496394423121986,-0.14852278898171567
2022-07-02,-0.027495400392688607,-0.01311230103895944,5.130034742140133e-05
2022-10-02,0.1128866343306647,0.10414156740429581,0.12371828173183808
2023-01-02,0.0799921545631408,0.07820746418432933,0.09388440670228415
2023-04-02,0.09337940932674593,0.08782212413971258,0.09448537524692369
2023-07-02,-0.0014128826162215224,-0.005959973055389756,-0.020550384000519117
2023-10-02,0.1341501724112144,0.12395914549545695,0.1421459465553696
2024-01-02,0.1615284755198183,0.1691946187103459,0.1573230781967514
2024-04-02,0.022718769372863434,0.00695424070370132,0.027218414686543735
2024-07-02,0.010666241453904268,0.0042732851996389876,-0.0016971640866049187
2024-10-02,0.008800484335060643,-0.016364348310717536,-0.011887515554277917
2025-01-02,-0.027043185386940616,-0.028294638049324083,-0.014359150273733468
2025-04-02,0.04694310944712088,0.06791610120126967,0.08007963958279563
2025-07-02,0.0686584613863297,0.0658297515878401,0.09517554258564109
