variant,window,cagr_net,es_95,es_99,drawdown,turnover,commissions,spread_cost,cost_total,initial_value,final_value,n_periods,beta_spy,n_obs
control_composite,full_history,0.21124166989213955,0.03022958270137204,0.05242240523513161,-0.38170859076716646,74.71842189076794,1048.0,4608.389453326905,5656.389453326905,100000.0,647145.3853794988,39,1.0067727502341692,2452
control_composite,development_retrospective,0.23979405169356505,0.03338026310819412,0.062436643104804956,-0.38170859076716646,68.22920175702856,519.0,1099.6540686901135,1618.6540686901135,100000.0,292359.4364609698,20,1.078070717663177,1259
control_composite,validation_retrospective,0.18196592171196024,0.026904297161754055,0.04032332150841712,-0.24689349066818123,81.54917992628312,529.0,3508.7353846367914,4037.7353846367914,292359.4364609698,647145.3853794988,19,0.9168367623840572,1193
hurdle_5,full_history,0.2068432756093448,0.029957567316863838,0.05237775652984095,-0.36665256355100884,51.669887813703085,951.0,3174.1178331144038,4125.117833114404,100000.0,624607.24810146,39,1.0112639120212434,2452
hurdle_5,development_retrospective,0.24408430650380497,0.033164471702002415,0.06238399051273446,-0.36665256355100884,47.93253636919529,475.0,779.8782446874538,1254.8782446874538,100000.0,297443.91143606097,20,1.077496098605962,1259
hurdle_5,validation_retrospective,0.16893529157857512,0.026559253565366713,0.040945552939176545,-0.2570590270348341,55.60394196581655,476.0,2394.23958842695,2870.23958842695,297443.91143606097,624607.24810146,19,0.9279049429555174,1193
hurdle_10,full_history,0.2125948930169621,0.0299706355815222,0.051582165991719955,-0.3514525005560212,38.521247659676284,895.0,2251.2676393275033,3146.2676393275033,100000.0,654224.8509237774,39,1.0254317484933226,2452
hurdle_10,development_retrospective,0.2356333738272629,0.03243504455478682,0.060997388941245304,-0.3514525005560212,37.338513124168095,452.0,574.2416838036734,1026.2416838036734,100000.0,287495.1442980373,20,1.0574948683485323,1259
hurdle_10,validation_retrospective,0.18886407380071413,0.027349489674207476,0.040643214402141865,-0.26087770514049924,39.76623138126385,443.0,1677.02595552383,2120.02595552383,287495.1442980373,654224.8509237774,19,0.9850433867639095,1193
spy_buy_hold,full_history,0.15004075227328495,0.027866205529717362,0.04842210044409767,-0.3371726607877109,,,,,100000.0,390472.4331783634,,1.0,2452
spy_buy_hold,development_retrospective,0.15439404067084572,0.03047934783226165,0.05629709944338278,-0.3371726607877109,,,,,100000.0,204746.05996317512,,0.9999999999999997,1259
spy_buy_hold,validation_retrospective,0.14548696800988803,0.02508799676535399,0.039613006823402075,-0.2449638527157294,,,,,204746.05996317512,390472.4331783634,,1.0000000000000002,1193
