fecha,hasta,held,sold,bought,turnover_pct,comision_pagada,spread_pagado,coste_total
2016-01-02,2016-04-04,,,"BF-B, BKNG, BRK-B, CB, CINF, CTAS, DHR, FAST, GT, HSIC, ICE, IFF, MPC, NEE, NI, NVDA, ORLY, PPG, ROP, SPG",100.0,20.0,49.975012493741815,69.97501249374181
2016-04-02,2016-07-05,"BF-B, BKNG, BRK-B, CINF, CTAS, DHR, FAST, HSIC, ICE, IFF, MPC, NEE, NVDA, ORLY, ROP, SPG","CB, GT, NI, PPG","CME, CPRI, GOOG, LRCX",47.10963166212579,24.0,24.849501452292316,48.849501452292316
2016-07-02,2016-10-03,"BF-B, BKNG, BRK-B, CINF, CME, CPRI, CTAS, DHR, FAST, GOOG, HSIC, ICE, LRCX, NEE, NVDA, ORLY, ROP, SPG","IFF, MPC","KIM, LNT",30.34796058726352,22.0,17.192778677374008,39.19277867737401
2016-10-02,2017-01-03,"BF-B, BKNG, BRK-B, CINF, CME, CPRI, CTAS, DHR, FAST, GOOG, ICE, KIM, LRCX, NEE, NVDA, ORLY, ROP, SPG","HSIC, LNT","CSX, URI",27.12417938865841,22.0,15.878120804845821,37.87812080484582
2017-01-02,2017-04-03,"BF-B, BKNG, BRK-B, CME, CPRI, CSX, CTAS, DHR, FAST, GOOG, ICE, LRCX, NEE, NVDA, ORLY, URI","CINF, KIM, ROP, SPG","ALK, BBT, PEG, UAL",46.061173336147974,24.0,28.954054817382712,52.95405481738271
2017-04-02,2017-07-03,"ALK, BBT, BF-B, BKNG, BRK-B, CME, CPRI, CSX, CTAS, FAST, GOOG, LRCX, NEE, NVDA, ORLY, UAL, URI","DHR, ICE, PEG","ALB, MPC, RJF",35.96836928820457,23.0,24.062915292393882,47.06291529239388
2017-07-02,2017-10-02,"ALB, ALK, BKNG, BRK-B, CME, CSX, CTAS, FAST, GOOG, LRCX, MPC, NEE, NVDA, ORLY, RJF","BBT, BF-B, CPRI, UAL, URI","COO, DAL, HRB, PPL, SHW",54.54775498117663,25.0,37.80869192033424,62.80869192033424
2017-10-02,2018-01-02,"ALB, BKNG, BRK-B, CME, COO, CSX, CTAS, DAL, FAST, GOOG, HRB, LRCX, MPC, NEE, NVDA, RJF, SHW","ALK, ORLY, PPL","CF, CNC, CPRI",35.115762210161535,23.0,25.880854595510755,48.880854595510755
2018-01-02,2018-04-02,"ALB, BKNG, BRK-B, CF, CME, CNC, COO, CPRI, CSX, CTAS, FAST, GOOG, LRCX, MPC, NEE, NVDA, RJF, SHW","DAL, HRB","MU, TSCO",25.810783558782525,22.0,20.906584181822836,42.906584181822836
2018-04-02,2018-07-02,"BKNG, BRK-B, CF, CME, CNC, COO, CPRI, CSX, CTAS, FAST, GOOG, LRCX, MPC, MU, NEE, NVDA, RJF, SHW","ALB, TSCO","PLD, UNP",22.82742673991028,22.0,18.342472054471727,40.34247205447173
2018-07-02,2018-10-02,"BKNG, BRK-B, CF, CME, CNC, COO, CPRI, CSX, CTAS, FAST, GOOG, LRCX, MPC, MU, NEE, NVDA, PLD, RJF, UNP",SHW,CPRT,16.110026572950936,21.0,13.447370323206997,34.447370323207
2018-10-02,2019-01-02,"BRK-B, CF, CME, CNC, COO, CPRT, CSX, CTAS, FAST, GOOG, LRCX, MPC, NEE, NVDA, PLD, UNP","BKNG, CPRI, MU, RJF","ANET, ORLY, SPG, TSCO",44.88463153885889,24.0,40.76631954376353,64.76631954376353
2019-01-02,2019-04-02,"ANET, BRK-B, CF, CME, COO, CPRT, CSX, CTAS, FAST, GOOG, LRCX, MPC, NEE, NVDA, ORLY, SPG, TSCO, UNP","CNC, PLD","AVGO, O",29.620939855622847,22.0,22.763589525711723,44.76358952571172
2019-04-02,2019-07-02,"ANET, AVGO, BRK-B, CME, COO, CPRT, CSX, CTAS, FAST, GOOG, LRCX, NEE, NVDA, O, ORLY, TSCO","CF, MPC, SPG, UNP","AZO, CMCSA, KLAC, NSC",46.5363738863599,24.0,43.99916450330056,67.99916450330056
2019-07-02,2019-10-02,"ANET, AVGO, AZO, BRK-B, CMCSA, CME, COO, CPRT, CSX, CTAS, FAST, GOOG, KLAC, LRCX, NEE, NSC, NVDA, ORLY, TSCO",O,PM,17.75768578035214,21.0,17.359895475383382,38.35989547538338
2019-10-02,2020-01-02,"ANET, AVGO, BRK-B, CMCSA, CME, CPRT, CSX, CTAS, FAST, GOOG, KLAC, LRCX, NEE, NSC, NVDA, ORLY, PM, TSCO","AZO, COO","BKNG, BMY",27.97036064484774,22.0,27.489245991571806,49.489245991571806
2020-01-02,2020-04-02,"AVGO, BKNG, BMY, BRK-B, CMCSA, CME, CPRT, CSX, CTAS, FAST, GOOG, KLAC, LRCX, NEE, NSC, NVDA, ORLY, PM","ANET, TSCO","ODFL, PPL",24.06983984068268,22.0,26.416209276154405,48.416209276154405
2020-04-02,2020-07-02,"AVGO, BKNG, BRK-B, CME, CPRT, CSX, CTAS, FAST, GOOG, LRCX, NEE, NVDA, ODFL, ORLY, PM","BMY, CMCSA, KLAC, NSC, PPL","AMZN, ANET, BIIB, CMG, NEM",58.28601377405265,25.0,50.04453079562518,75.04453079562518
2020-07-02,2020-10-02,"AMZN, ANET, AVGO, BIIB, BKNG, CME, CMG, CPRT, CSX, CTAS, FAST, GOOG, LRCX, NEE, NEM, NVDA, ODFL, ORLY","BRK-B, PM","ALB, AOS",30.4534861509058,22.0,34.93035921500996,56.93035921500996
2020-10-02,2021-01-04,"ALB, AMZN, ANET, AOS, AVGO, CME, CMG, CPRT, CSX, CTAS, FAST, GOOG, LRCX, NEE, NEM, NVDA, ODFL, ORLY","BIIB, BKNG","MNST, PEG",26.16786268629706,22.0,33.174012863775715,55.174012863775715
2021-01-02,2021-04-05,"ALB, AMZN, ANET, AVGO, CME, CMG, CPRT, CSX, CTAS, FAST, GOOG, LRCX, MNST, NEE, NEM, NVDA, ODFL, PEG","AOS, ORLY","BKR, MPC",28.370003466648026,22.0,40.13866346766008,62.13866346766008
