fecha,hasta,held,sold,bought,turnover_pct,comision_pagada,spread_pagado,coste_total
2021-04-02,2021-07-02,"ANET, AVGO, CME, CMG, CSX, CTAS, FAST, GOOG, LRCX, MNST, NVDA, ODFL, PEG","ALB, AMZN, BKR, CPRT, MPC, NEE, NEM","CI, DTE, FTNT, KIM, KLAC, LH, PPL",72.50772430266598,27.0,114.22642038803315,141.22642038803315
2021-07-02,2021-10-04,"ANET, AVGO, CI, CME, CMG, CSX, CTAS, DTE, FTNT, GOOG, KIM, KLAC, LH, LRCX, MNST, NVDA, ODFL, PEG, PPL",FAST,TSCO,19.028239898474343,21.0,31.910234260139987,52.91023426013999
2021-10-02,2022-01-03,"ANET, AVGO, CME, CMG, CTAS, DTE, FTNT, GOOG, KIM, KLAC, LH, LRCX, MNST, NVDA, ODFL, PPL, TSCO","CI, CSX, PEG","AZO, CPRT, ORLY",33.836229951260925,23.0,57.18515502085211,80.18515502085211
2022-01-02,2022-04-04,"ANET, AVGO, AZO, CME, CMG, CPRT, CTAS, FTNT, GOOG, KLAC, LH, LRCX, NVDA, ODFL, ORLY, PPL, TSCO","DTE, KIM, MNST","AOS, DGX, FAST",38.03579086908606,23.0,77.29784304293571,100.29784304293571
2022-04-02,2022-07-05,"ANET, AOS, AVGO, AZO, CME, CMG, CPRT, CTAS, DGX, FAST, FTNT, GOOG, KLAC, NVDA, ODFL, ORLY, TSCO","LH, LRCX, PPL","CF, CINF, REGN",35.57923252978904,23.0,67.10185635276139,90.10185635276139
2022-07-02,2022-10-03,"ANET, AVGO, AZO, CF, CINF, CME, CMG, CTAS, DGX, FAST, FTNT, GOOG, KLAC, ODFL, ORLY, REGN, TSCO","AOS, CPRT, NVDA","CI, MOS, VICI",34.83874854454851,23.0,55.75876754778437,78.75876754778437
2022-10-02,2023-01-03,"ANET, AVGO, AZO, CF, CI, CINF, CMG, CTAS, DGX, FAST, KLAC, MOS, ODFL, ORLY, REGN, TSCO, VICI","CME, FTNT, GOOG","CPRT, MNST, MPC",35.01095670855082,23.0,57.43647640530253,80.43647640530253
2023-01-02,2023-04-03,"ANET, AVGO, AZO, CI, CINF, CMG, CPRT, CTAS, DGX, KLAC, MNST, MPC, ODFL, ORLY, REGN, TSCO, VICI","CF, FAST, MOS","LRCX, NFLX, PM",33.02081462283892,23.0,58.385436648561154,81.38543664856115
2023-04-02,2023-07-03,"ANET, AVGO, AZO, CMG, CPRT, CTAS, DGX, KLAC, LRCX, MNST, MPC, NFLX, ODFL, ORLY, PM, REGN, TSCO, VICI","CI, CINF","BEN, PHM",26.725930644970518,22.0,52.41356148489285,74.41356148489285
2023-07-02,2023-10-02,"ANET, AVGO, BEN, CMG, CPRT, CTAS, KLAC, LRCX, MNST, MPC, NFLX, ODFL, ORLY, PHM, PM, REGN","AZO, DGX, TSCO, VICI","ATO, EQT, MO, WY",47.11485829183342,24.0,100.58163302682806,124.58163302682806
2023-10-02,2024-01-02,"ANET, ATO, AVGO, BEN, CMG, CPRT, CTAS, EQT, KLAC, LRCX, MO, MPC, NFLX, ODFL, ORLY, PHM, PM, REGN, WY",MNST,CF,17.443299667651303,21.0,35.9819546676008,56.9819546676008
2024-01-02,2024-04-02,"ANET, ATO, AVGO, CF, CMG, CTAS, EQT, KLAC, LRCX, MO, MPC, NFLX, ODFL, ORLY, PHM, PM, REGN, WY","BEN, CPRT","BLDR, FANG",27.718770799692965,22.0,65.80106970132329,87.80106970132329
2024-04-02,2024-07-02,"ANET, ATO, AVGO, BLDR, CMG, CTAS, FANG, KLAC, LRCX, MO, MPC, NFLX, ORLY, PHM, REGN","CF, EQT, ODFL, PM, WY","ETR, HST, NVDA, SMCI, STLD",54.01201696448828,25.0,150.51889975124504,175.51889975124504
2024-07-02,2024-10-02,"ANET, ATO, AVGO, CMG, CTAS, ETR, FANG, HST, KLAC, LRCX, MO, MPC, NFLX, NVDA, ORLY, REGN, SMCI, STLD","BLDR, PHM","APH, DECK",28.62273445898093,22.0,81.974228470237,103.974228470237
2024-10-02,2025-01-02,"ANET, APH, ATO, CTAS, DECK, ETR, FANG, HST, KLAC, MO, NFLX, NVDA, ORLY, REGN, SMCI, STLD","AVGO, CMG, LRCX, MPC","CF, EOG, EXR, NEE",47.76563498091777,24.0,135.81119745480828,159.81119745480828
2025-01-02,2025-04-02,"ANET, APH, ATO, CF, EOG, ETR, EXR, HST, MO, NEE, NFLX, NVDA, ORLY, SMCI, STLD","CTAS, DECK, FANG, KLAC, REGN","APO, CINF, DAL, SPG, UAL",56.60908559775566,25.0,162.03068909305148,187.03068909305148
2025-04-02,2025-07-02,"ANET, APH, APO, ATO, CF, CINF, EOG, ETR, EXR, MO, NFLX, ORLY, SPG, UAL","DAL, HST, NEE, NVDA, SMCI, STLD","BKNG, BRK.B, CME, NEM, VICI, WAT",69.15179508633355,26.0,181.48716313112527,207.48716313112527
2025-07-02,2025-10-02,"ANET, APH, ATO, BKNG, CF, CINF, CME, EOG, ETR, EXR, MO, NEM, NFLX, ORLY, SPG, VICI","APO, BRK.B, UAL, WAT","CI, KLAC, MNST, O",50.166528857526075,24.0,150.98470560868736,174.98470560868736
