date,strategy,spy
2016-01-04,99930.02498750627,99949.02548725638
2016-01-05,100157.8120470657,100118.09268915051
2016-01-06,98820.22997715822,98855.17769941207
2016-01-07,96999.1609530507,96483.48531689281
2016-01-08,95728.64211793347,95424.45527558218
2016-01-11,95996.8388328355,95518.9104494301
2016-01-12,96758.20015302466,96289.60743337723
2016-01-13,94264.59161380364,93888.07383930312
2016-01-14,95350.4013951559,95429.42281140192
2016-01-15,93520.4107567306,93380.88123277984
2016-01-19,93909.03722619936,93505.21361481897
2016-01-20,92900.49615800781,92306.93958485089
2016-01-21,92560.35137203161,92824.02226721818
2016-01-22,94614.6721941624,94728.37031968126
2016-01-25,93332.4205113135,93296.3881280487
2016-01-26,94777.39176182213,94569.23818942663
2016-01-27,93889.07090867076,93540.01336303446
2016-01-28,94722.02777054298,94027.29083048331
2016-01-29,97477.07019888157,96319.38565081843
2016-02-01,97674.8701148124,96284.63989755748
2016-02-02,96044.73405494406,94549.34104867037
2016-02-03,96089.33503900723,95116.15308418969
2016-02-04,96390.84184565741,95265.32314532755
2016-02-05,94487.49187455315,93450.49872752902
2016-02-08,93109.00760258026,92192.5872702467
2016-02-09,94044.20883505436,92197.54580690736
2016-02-10,94411.79921352751,92118.00223967778
2016-02-11,93382.58624946015,90919.74620802788
2016-02-12,95197.28622797636,92794.21705229972
2016-02-16,96603.9102159828,94360.41270265635
2016-02-17,98039.33469163241,95901.74367643696
2016-02-18,98483.54094676956,95509.00237526788
2016-02-19,98981.48807697922,95464.23155877652
2016-02-22,99999.64854276441,96846.45739977979
2016-02-23,99025.19330854126,95623.32769239479
2016-02-24,99640.17342691802,96060.86680753251
2016-02-25,100501.72082397138,97224.31409180781
2016-02-26,99728.52419788933,97000.61299505558
2016-02-29,99227.65500169144,96239.86908106612
2016-03-01,101169.67874925878,98502.15868648277
2016-03-02,101193.18870933031,98944.70133407661
2016-03-03,101832.66149731184,99332.5380935396
2016-03-04,102168.80064992723,99655.70689575496
2016-03-07,102032.14907520109,99735.25946214364
2016-03-08,101511.75344422276,98646.33421432361
2016-03-09,101910.36874560549,99133.62968009063
2016-03-10,102002.72806634032,99213.1912456384
2016-03-11,103612.90537618194,100814.17764505143
2016-03-14,103371.83956772734,100684.92272298802
2016-03-15,103292.81234148696,100520.84105523182
2016-03-16,104051.22102770253,101102.57369652858
2016-03-17,104947.41723400644,101743.96176345773
2016-03-18,105357.23810799318,102143.78540283359
2016-03-21,105405.41256642532,102288.7078608792
2016-03-22,105248.49952128882,102233.74099713464
2016-03-23,104724.7898672402,101559.0830390359
2016-03-24,104610.72781713498,101514.08724356719
2016-03-28,104759.312127465,101574.0486406088
2016-03-29,105818.47767698886,102513.63284326819
2016-03-30,106034.67212391116,102963.42881309158
2016-03-31,105924.59336197036,102713.55816169475
2016-04-01,106649.52306321147,103413.2067845968
2016-04-04,105463.4478100441,103078.35707387776
2016-04-05,104605.47638073326,102048.83527523551
2016-04-06,105156.21619849249,103163.35413151815
2016-04-07,103761.15135835373,101928.88548367504
2016-04-08,103614.12149746517,102203.75579903428
2016-04-11,103375.60974836888,101963.89221254969
2016-04-12,103930.16554558507,102913.44748348494
2016-04-13,104831.0146750289,103952.98534619852
2016-04-14,104605.82198347671,103957.97987949556
2016-04-15,104868.41462984674,103843.04261955028
2016-04-18,105318.07453938619,104572.69443887087
2016-04-19,105412.13994453008,104902.53161797469
2016-04-20,105102.37710789703,105002.48527802888
2016-04-21,103976.71761559478,104437.77904573748
2016-04-22,104126.20166865102,104437.77904573748
2016-04-25,104294.47829242666,104257.82286133993
2016-04-26,104674.16593784493,104412.75238429778
2016-04-27,105634.63643004672,104627.68830009272
2016-04-28,104036.10484830923,103678.11503083927
2016-04-29,103569.78960426564,103118.35833604944
2016-05-02,104611.44342505762,103937.98374798926
2016-05-03,103962.04098317825,103033.41527336361
2016-05-04,103510.23359142199,102458.63898204634
2016-05-05,103562.65374543026,102438.63385138095
2016-05-06,104377.37299866072,102813.51182174894
2016-05-09,104562.06515242883,102898.44588527568
2016-05-10,105474.67414812408,104177.84733447384
2016-05-11,103906.06157400139,103203.31039789437
2016-05-12,104165.46323529205,103233.27759767653
2016-05-13,103930.36545277284,102333.68565802973
2016-05-16,104763.31548226527,103343.25632096114
2016-05-17,103601.48723427847,102378.68145349843
2016-05-18,103806.01431178204,102408.6576524397
2016-05-19,103392.69068049631,102053.80281105527
2016-05-20,104440.89525598376,102698.52056684911
2016-05-23,103930.7446329012,102558.64663705508
2016-05-24,105703.95805673444,103887.95742258715
2016-05-25,105872.41329697726,104592.68157121807
2016-05-26,106023.8300033492,104622.67576847751
2016-05-27,106681.37580635099,105072.50773493727
2016-05-31,106684.65716524525,104872.57341735162
2016-06-01,107107.07112603115,105087.47333651017
2016-06-02,107569.8759939444,105407.32144901995
2016-06-03,107436.21401261925,105092.4678698072
2016-06-06,107711.63928852243,105627.2338997937
2016-06-07,107916.55450276888,105792.12549186834
2016-06-08,108663.36337010511,106136.98226749961
2016-06-09,108758.18812438303,105992.05081029491
2016-06-10,107728.89794707604,104987.51067729689
2016-06-13,107221.649991677,104177.84733447384
2016-06-14,107267.64122266008,103972.92748275025
2016-06-15,107168.27697331659,103828.03202218191
2016-06-16,107502.94305905429,104137.90906641583
2016-06-17,106796.541746144,103750.07230695283
2016-06-20,107664.34101304825,104418.21487386769
2016-06-21,107860.79510355387,104714.63817525645
2016-06-22,108050.25975310814,104543.82513649814
2016-06-23,109502.60072580347,105905.1999258812
2016-06-24,105809.47795976546,102102.25428361597
2016-06-27,104510.62703293997,100273.63415492674
2016-06-28,106119.25703772844,102082.16816051873
2016-06-29,107650.86555087256,103820.40073527042
2016-06-30,109357.95039685632,105237.06635812543
2016-07-01,109458.65569776393,105458.11270294501
2016-07-05,112930.03136089575,104699.56458377444
2016-07-06,112922.13535349688,105327.48990869935
2016-07-07,112736.55165930676,105262.19201031516
2016-07-08,114600.84473658954,106829.60254714945
2016-07-11,115162.72559282235,107206.37034092714
2016-07-12,115011.71942157758,107985.0855756268
2016-07-13,115176.55451799193,107969.99398582659
2016-07-14,115359.47764835815,108572.82965519816
2016-07-15,115269.75465866101,108427.16026694777
2016-07-18,115487.2731497474,108718.50804260766
2016-07-19,115373.86238333053,108607.98936977741
2016-07-20,116306.86923244072,109060.12512096518
2016-07-21,115679.82997786162,108648.19761260826
2016-07-22,116490.35724043688,109135.49307837528
2016-07-25,116516.3052900936,108839.0877753047
2016-07-26,116767.67030188214,108889.35707800234
2016-07-27,116358.90413095058,108773.78087776141
2016-07-28,117186.25325459281,108899.39114039186
2016-07-29,117611.9357849061,109075.24370824268
2016-08-01,117828.1100060784,108984.77516187329
2016-08-02,116702.3334234903,108286.4764128353
2016-08-03,117070.58844568706,108602.9678390031
2016-08-04,116751.83295389079,108718.50804260766
2016-08-05,117785.31621716567,109607.71495266027
2016-08-08,117545.71070160522,109542.41705427608
2016-08-09,117603.5526748725,109607.71495266027
2016-08-10,117227.60664141345,109336.47129841581
2016-08-11,117471.2570406782,109843.82588980279
2016-08-12,117783.89053673358,109748.42580425003
2016-08-15,117973.29220232632,110064.86323546327
2016-08-16,117486.25107135522,109497.20527898913
2016-08-17,118060.33906096588,109703.18703148578
2016-08-18,118493.7885459417,109949.350029336
2016-08-19,118485.68679070918,109788.5800521263
2016-08-22,118639.09361210451,109783.54052303381
2016-08-23,118600.76398253939,110004.61386533067
2016-08-24,118237.79958466855,109441.95044215355
2016-08-25,118541.57789029212,109366.60048306166
2016-08-26,118137.13677009621,109160.618730565
2016-08-29,119039.29274094522,109698.1385032342
2016-08-30,118580.41767226983,109517.30940040456
2016-08-31,118388.72563688643,109205.83050585196
2016-09-01,118763.93199646828,109210.86103578536
2016-09-02,119160.83583036959,109703.18703148578
2016-09-06,119324.87579647315,110034.7790466129
2016-09-07,119113.52492519777,110024.6819901097
2016-09-08,118725.79073809633,109773.50646064429
2016-09-09,115520.8650119146,107146.11197163544
2016-09-12,117248.9989381399,108683.3663263466
2016-09-13,115594.57158149526,107120.98631944571
2016-09-14,115595.51544509685,107080.82307241035
2016-09-15,116933.22093924014,108150.85008613352
2016-09-16,116800.78190414722,107732.77615211556
2016-09-19,117421.39773396708,107752.97026512191
2016-09-20,117242.08272180556,107758.0187933735
2016-09-21,118666.97550605937,108969.81855945948
2016-09-22,119369.42055469331,109656.47239663017
2016-09-23,118557.62324472953,109055.66153805469
2016-09-26,117597.69206032818,108172.06110411747
2016-09-27,118284.0035062778,108843.60535316975
2016-09-28,118584.37945466784,109383.83387272617
2016-09-29,117269.06793287589,108394.19634718739
2016-09-30,117832.69777159118,109212.16591385395
2016-10-03,117027.21927521695,108949.62444645313
2016-10-04,116601.67126326435,108394.19634718739
2016-10-05,116814.24738178262,108873.90552183839
2016-10-06,117528.1189329327,108949.62444645313
2016-10-07,117207.31270001378,108575.97036172188
2016-10-10,117594.96171797182,109141.4955174908
2016-10-11,115919.28689741062,107763.04932330691
2016-10-12,116279.23169093637,107904.45311014687
2016-10-13,115990.95803431494,107551.01113674017
2016-10-14,115938.19611304492,107606.55394666674
