fecha,hasta,event,excess_return,factor_adjusted_return,residual,Mkt-RF,SMB,HML,RMW,CMA,Mom
2016-07-02,2016-10-03,other,0.0508061928874115,-3.9809595043863166e-05,-0.00600069645510985,0.04949271317545201,0.004185998889039137,0.0007280972002910874,-0.004928475119243522,-0.0021026610481545693,0.003470329385071219
2016-10-02,2017-01-03,other,0.066414993074528,-0.014601684065401854,-0.02056257092546784,0.04814156636790785,0.0021280301591926915,0.019714496584211507,0.003711765591436122,0.004975492449835073,0.0023453259873466104
2017-01-02,2017-04-03,other,0.0367584827868945,-0.010128536441743809,-0.016089423301809794,0.060026606154336144,-0.002042009204649382,-0.008741007128799336,0.0010051218331587702,-0.005159924680923628,0.0017982322555157421
2017-04-02,2017-07-03,other,0.0240596055790873,0.0029802547525130743,-0.0029806321075529123,0.030946980621421226,-7.424265100439831e-05,-0.005189978815092584,0.0008193234537713311,-0.004412112644639637,-0.001010619137881709
2017-07-02,2017-10-02,other,0.0608926376279784,0.018042939694310818,0.012082052834244832,0.04816884504629804,0.0007937170289915485,0.0008504132771894522,-0.003756317320637077,-0.0012621908222534518,-0.0019447692759209303
2017-10-02,2018-01-02,other,0.05939617605076,-0.012943015838872973,-0.01890390269893896,0.06859959733488787,-0.002264634605166068,0.00010608192348810748,0.008835458862909215,-0.002047008625268819,-0.0008903030012173399
2018-01-02,2018-04-02,selloff_2018,-0.0419793140512143,-0.023361541282704144,-0.02932242814277013,-0.00684052650810422,0.00042908769214697144,-0.0030802026156124224,-0.0011595933252238682,-0.004499839470367325,-0.0034666985413492907
2018-04-02,2018-07-02,selloff_2018,0.0263566746985229,-0.0006465779288752707,-0.006607464788941257,0.03590069063566676,0.004431263374073082,-0.005776427495542805,-0.00639874352840105,-9.387966994848277e-05,-0.0010596506884493365
2018-07-02,2018-10-02,selloff_2018,0.065891581454921,0.0028307939271957905,-0.003130092932870196,0.07149632428097925,-0.002547818099659245,-0.006017837328609073,0.0033224462356836117,-0.0012088525576268282,-0.001983475003042527
2018-10-02,2019-01-02,selloff_2018,-0.1261870116757374,0.027159231071082673,0.021198344211016688,-0.15724307414806366,-0.005367584329855513,0.0021599965378235777,0.0004941918245895081,0.0057032820576974,0.0009069453109885815
2019-01-02,2019-04-02,other,0.2195209287138095,0.08963830234003808,0.0836774154799721,0.13911249921918675,0.0006554650073130285,-0.008357078347556236,0.0007467482756621209,-0.005397433543925191,0.0031224257630909206
2019-04-02,2019-07-02,other,0.03091427702322,-0.003622434681005385,-0.00958332154107137,0.037029347768596954,-0.0016599558129230811,-0.0011778956931034381,0.0027899945746141575,-0.0013411194080913962,-0.0011036597248678106
