symbol,prices_first,prices_last,prices_rows,archive_prices_first,archive_prices_last,archive_prices_rows,facts_first,facts_last,facts_rows,candidate_facts_first,candidate_facts_last,candidate_facts_rows
TMO,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-31,2015-10-30,1235,,,0
TMUS,2007-04-19,2015-12-31,2193,2007-04-19,2015-12-31,2193,2010-08-09,2015-10-27,805,,,0
TNB,,,0,2000-01-03,2012-05-16,3113,,,0,,,0
TOS,,,0,2000-01-03,2015-12-31,2264,,,0,,,0
TOY,,,0,2000-01-03,2015-12-31,1767,,,0,,,0
TPR,2000-10-06,2015-12-31,3832,2000-10-05,2015-12-31,3833,2009-11-04,2015-11-04,1026,,,0
TRB,,,0,2000-01-03,2007-12-20,2004,,,0,2015-05-08,2015-11-10,88
TRIP,2011-12-07,2015-12-31,1023,2011-12-07,2015-12-31,1023,2011-12-06,2015-11-05,468,,,0
TROW,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-24,2015-10-22,758,,,0
TRV,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-10-20,581,,,0
TRW,,,0,2004-02-03,2015-05-14,2840,,,0,,,0
TSCO,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-03,2015-11-05,702,,,0
TSG,,,0,2010-10-15,2015-12-31,1312,,,0,,,0
TSN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-09,2015-11-23,1001,,,0
TSS,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-09,2015-11-05,852
TT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-10-27,978,,,0
TUP,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
TWC,,,0,2007-01-10,2015-12-31,2261,,,0,2010-04-29,2015-10-29,829
TWX,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-29,2015-11-04,863
TX,,,0,2006-02-01,2015-12-31,2497,,,0,,,0
TXN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-29,2015-11-05,795,,,0
TXT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-31,2015-10-28,646,,,0
TXU,,,0,2000-01-03,2007-10-10,1954,,,0,2011-07-29,2015-11-03,492
UAA,2005-11-18,2015-12-31,2546,2005-11-18,2015-12-31,2546,2010-08-05,2015-11-04,809,,,0
UAL,2006-02-06,2015-12-31,2494,2006-01-26,2015-12-31,2501,2010-07-20,2015-10-22,785,,,0
UAWGQ,,,0,,,0,,,0,,,0
UCC,,,0,,,0,,,0,,,0
UCL,,,0,,,0,,,0,,,0
UCM,,,0,2000-01-03,2015-12-31,2247,,,0,,,0
UHS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-09,2015-11-06,835,,,0
UIS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2010-07-30,2015-10-23,685
UK,,,0,,,0,,,0,,,0
UMG,,,0,2007-06-20,2015-12-31,2145,,,0,,,0
UN,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
UNH,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-06,2015-11-05,1118,,,0
UNM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-10-29,553,,,0
UNP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-24,2015-10-22,888,,,0
UPC,,,0,,,0,,,0,,,0
UPR,,,0,2000-01-03,2015-12-31,2465,,,0,,,0
UPS,1999-11-10,2015-12-31,4061,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-05,1014,,,0
URBN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2010-09-08,2015-12-08,763
URI,1997-12-18,2015-12-31,4538,2000-01-03,2015-12-31,4025,2011-07-19,2015-10-21,810,,,0
USB,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-11-04,614,,,0
USBC,,,0,,,0,,,0,,,0
USH,,,0,,,0,,,0,,,0
USHC,,,0,,,0,,,0,,,0
USS,,,0,,,0,,,0,,,0
UST,,,0,2010-01-22,2015-12-31,1468,,,0,,,0
USW,,,0,2000-01-03,2000-06-30,126,,,0,,,0
UTX,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-24,2015-10-23,828
UVN,,,0,2000-01-03,2015-12-15,3762,,,0,,,0
V,2008-03-19,2015-12-31,1962,2008-03-19,2015-12-31,1962,2009-07-30,2015-11-20,772,,,0
VAR,,,0,2000-01-03,2015-12-31,4025,,,0,2009-08-11,2015-11-25,1060
VAT,,,0,,,0,,,0,,,0
VFC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-11,2015-11-06,952,,,0
VIAB,,,0,2005-12-05,2015-12-31,2536,,,0,2009-07-28,2015-11-12,975
VIAV,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
VLO,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-04,853,,,0
VMC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-05,2015-11-04,1220,,,0
VNO,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-21,2015-11-02,809,,,0
VO,,,0,2004-01-30,2015-12-31,2999,,,0,,,0
VRSK,2009-10-07,2015-12-31,1570,2009-10-07,2015-12-31,1570,2011-05-03,2015-10-27,609,,,0
VRSN,1998-01-30,2015-12-31,4510,2000-01-03,2015-12-31,4025,2009-08-06,2015-10-22,726,,,0
VRTS,,,0,2009-01-02,2015-12-31,1762,,,0,,,0
VRTX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4024,2010-05-03,2015-10-30,769,,,0
VSTNQ,,,0,2000-06-08,2010-10-01,2595,,,0,,,0
VTR,1997-05-05,2015-12-31,4697,2000-01-03,2015-12-31,4025,2009-08-05,2015-10-26,868,,,0
VTSS,,,0,2000-01-03,2015-04-27,3852,,,0,,,0
VZ,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-30,2015-10-27,823,,,0
WAI,,,0,,,0,,,0,,,0
WAMUQ,,,0,2000-01-03,2012-03-20,3073,,,0,,,0
WAT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-06,840,,,0
WB,,,0,2014-04-17,2015-12-31,431,,,0,,,0
WBA,,,0,2000-01-03,2015-12-31,4025,2014-12-30,2015-10-28,163,,,0
WCOEQ,,,0,,,0,,,0,,,0
WDC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-10-29,2015-11-10,904,,,0
WEC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-04,2015-11-06,835,,,0
WELL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-06,2015-10-30,949,,,0
WEN,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2010-08-12,2015-11-04,686
WFC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-11-04,617,,,0
WFM,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-13,2015-11-13,880
WFT,,,0,2000-01-03,2015-12-31,4025,,,0,2009-09-01,2014-04-29,942
WHR,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-07-20,2015-10-23,915,,,0
WIN,,,0,2003-09-10,2015-12-31,3100,,,0,2009-08-06,2015-11-05,909
WLA,,,0,2000-01-03,2000-06-19,117,,,0,,,0
WLL,,,0,2004-12-20,2015-12-16,1010,,,0,,,0
WLP,,,0,2014-09-22,2014-12-02,51,,,0,2009-07-29,2015-10-28,957
WM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-30,2015-10-27,938,,,0
WMB,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-27,2015-10-29,943,,,0
WMT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-09-09,2015-12-02,1144,,,0
WMX,,,0,,,0,,,0,,,0
WNDXQ,,,0,2000-01-03,2006-11-21,1733,,,0,,,0
WOR,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
WPX,,,0,2011-12-12,2015-12-31,1020,,,0,2012-05-04,2015-11-05,523
WRK,,,0,2000-01-03,2015-12-31,4025,,,0,,,0
WU,2006-10-02,2015-12-31,2329,2006-09-20,2015-12-31,2337,2009-05-04,2015-10-29,647,,,0
WWY,,,0,2000-01-03,2015-12-31,3517,,,0,,,0
WY,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-10,2015-10-30,1052,,,0
WYE,,,0,2000-01-03,2009-10-15,2462,,,0,2009-08-06,2009-08-06,27
WYND,,,0,,,0,,,0,,,0
WYNN,2002-10-25,2015-12-31,3319,2002-10-25,2015-12-31,3319,2010-08-09,2015-11-06,937,,,0
X,,,0,2000-01-03,2015-12-31,4025,,,0,2009-07-28,2015-11-04,887
XEC,,,0,2002-09-25,2015-12-31,3341,,,0,2009-08-07,2015-11-04,667
XEL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-31,2015-10-30,842,,,0
XL,,,0,,,0,,,0,2010-08-06,2015-11-05,604
XLNX,,,0,2000-01-03,2015-12-31,4025,,,0,2010-08-09,2015-10-28,717
XOM,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,,,0
XRAY,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-30,2015-10-30,878,,,0
XRX,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,,,0
XTO,,,0,2000-01-03,2010-06-25,2636,,,0,2009-08-06,2010-05-06,99
XYL,2011-10-13,2015-12-31,1061,2011-10-13,2015-12-31,1061,2011-11-21,2015-10-29,738,,,0
YNR,,,0,,,0,,,0,,,0
YRCW,,,0,,,0,,,0,,,0
YUM,1997-09-17,2015-12-31,4603,2000-01-03,2015-12-31,4025,2009-10-13,2015-10-15,942,,,0
ZBH,2001-07-25,2015-12-31,3632,2001-07-25,2015-12-31,3632,2009-08-17,2015-11-09,890,,,0
ZION,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-09,2015-11-06,534,,,0
ZTS,2013-02-01,2015-12-31,735,2013-02-01,2015-12-31,735,2013-05-15,2015-11-05,374,,,0
