symbol,prices_first,prices_last,prices_rows,archive_prices_first,archive_prices_last,archive_prices_rows,facts_first,facts_last,facts_rows,candidate_facts_first,candidate_facts_last,candidate_facts_rows
NI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-03,2015-11-03,962,,,0
NKE,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-10-08,2015-10-06,675,,,0
NLC,,,0,,,0,,,0,,,0
NLSN,,,0,2011-01-26,2015-12-31,1242,,,0,2011-07-28,2015-10-21,908
NLV,,,0,,,0,,,0,,,0
NMK,,,0,,,0,,,0,,,0
NOC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-07-23,2015-10-28,973,,,0
NOV,1996-10-29,2015-12-31,4826,2000-01-03,2015-12-31,4025,2009-08-10,2015-10-30,1139,,,0
NOVL,,,0,2000-01-03,2011-04-27,2847,,,0,2010-09-09,2011-03-14,97
NRG,2003-12-02,2015-12-31,3042,2003-12-02,2015-12-31,3041,2009-08-25,2015-11-04,1144,,,0
NRTLQ,,,0,2000-01-03,2015-10-13,3970,,,0,,,0
NSC,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-10-30,2015-10-28,739,,,0
NSI,,,0,,,0,,,0,,,0
NSM,,,0,2012-03-08,2015-12-31,961,,,0,2010-09-28,2011-07-27,130
NTAP,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-09-13,2015-12-02,899,,,0
NTRS,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-03,2015-10-28,566,,,0
NUE,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-11,2015-11-12,900,,,0
NVDA,1999-01-22,2015-12-31,4264,2000-01-03,2015-12-31,4025,2009-08-20,2015-11-18,989,,,0
NVLS,,,0,2003-09-10,2015-12-31,2338,,,0,2010-08-04,2012-05-07,275
NWL,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-08-06,2015-11-09,710,,,0
NWS,2013-06-19,2015-12-31,640,2013-06-19,2015-12-31,640,2013-11-12,2015-11-06,270,,,0
NWSA,2013-06-19,2015-12-31,640,2013-06-19,2015-12-31,640,2013-11-12,2015-11-06,270,,,0
NXTL,,,0,2000-01-03,2005-08-12,1411,,,0,,,0
NYN,,,0,,,0,,,0,,,0
NYT,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,,,0,2010-08-05,2015-11-04,813
NYX,,,0,2004-08-16,2013-11-12,2329,,,0,2009-05-13,2013-11-05,657
O,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2010-07-29,2015-10-29,487,,,0
OAT,,,0,2000-01-03,2001-08-02,400,,,0,,,0
ODP,,,0,2000-01-03,2015-12-31,4025,,,0,2010-07-27,2015-11-03,943
OI,1996-01-02,2015-12-31,5036,2000-01-03,2015-12-31,4025,2009-08-07,2015-10-28,733,,,0
OK,,,0,2000-01-03,2015-12-31,2049,,,0,,,0
