symbol,cik,historical_name,sha256,accession,filed_date,source_url,candidate_status,member_in_fja
DV,0000730464,DEVRY EDUCATION GROUP INC.,306b7c07868a240957061f8ece33c2210bbae15a7138db20a1253eaa78eec17a,0001144204-15-062732,2015-11-04,https://www.sec.gov/Archives/edgar/data/730464/000114420415062732/dv-20150930.xml,missing,False
SE,0001373835,SPECTRA ENERGY CORP.,b5eb3649fe28c8713f0d92a8fb87e9cc88c7bc73c885b9058bbece4c2d2c4ebd,0001193125-11-213932,2011-08-08,https://www.sec.gov/Archives/edgar/data/1373835/000119312511213932/se-20110630.xml,agrees,True
YHOO,0001011006,YAHOO INC,1a19be870df4924d8f04c3b0cf2048183f58fdd140201bc36c9ea70d10a0315d,0001193125-11-214306,2011-08-08,https://www.sec.gov/Archives/edgar/data/1011006/000119312511214306/yhoo-20110630.xml,agrees,False
STI,0000750556,SUNTRUST BANKS INC,78313b5e82999ff475ff495c585112a1ec95ec9036e0f704095539b9b0bca826,0001193125-11-216131,2011-08-09,https://www.sec.gov/Archives/edgar/data/750556/000119312511216131/sti-20110630.xml,agrees,True
WFR,0000945436,MEMC ELECTRONIC MATERIALS INC,50ec26b3c54cf51de05f01e914c54eff5b3e1ab9f1834ab375efd97867283ad3,0001193125-11-216740,2011-08-09,https://www.sec.gov/Archives/edgar/data/945436/000119312511216740/wfr-20110630.xml,agrees,False
SUN,0000095304,SUNOCO INC,743aeaf91c9496de9b14f8ce8cb17dba9fbc3ee3dcf9ab1db5a4ab378bd6ff3f,0001193125-11-217562,2011-08-10,https://www.sec.gov/Archives/edgar/data/95304/000119312511217562/sun-20110630.xml,agrees,True
SLE,0000023666,Sara Lee Corp,a9a18aa91a2dbb6ae36bf84e4c448391c47440cb1614b87b01641aa4043c53d7,0001193125-11-234200,2011-08-26,https://www.sec.gov/Archives/edgar/data/23666/000119312511234200/sle-20110702.xml,agrees,False
SUN,0000095304,SUNOCO INC,cb04e110496dcd2bd109a83316cbff0dd8e7f463ec2c5a7a1ee38f7b5041b6a5,0001193125-11-295379,2011-11-03,https://www.sec.gov/Archives/edgar/data/95304/000119312511295379/sun-20110930.xml,agrees,True
POM,0001135971,,a81ec7c235b25b4b759afd5371fc2168ea9709c383394bf3d90a2bed6f086058,0001193125-11-295580,2011-11-04,https://www.sec.gov/Archives/edgar/data/1135971/000119312511295580/pom-20110930.xml,agrees,True
YHOO,0001011006,YAHOO INC,008e59b8bc2f46709e48cc2b25dff3356767564240740cc261bb70554a259c4b,0001193125-11-299810,2011-11-07,https://www.sec.gov/Archives/edgar/data/1011006/000119312511299810/yhoo-20110930.xml,agrees,False
SE,0001373835,SPECTRA ENERGY CORP.,ca04c50c093a3bb78452062b3f8109741772df3b1583e0a2d724ab3dcbbcef93,0001193125-11-301864,2011-11-08,https://www.sec.gov/Archives/edgar/data/1373835/000119312511301864/se-20110930.xml,agrees,True
SLE,0000023666,Sara Lee Corp,19ca4d6624da75e6fb77c16652b7299c8f7c1786142c09923a725a9760289370,0001193125-11-302336,2011-11-08,https://www.sec.gov/Archives/edgar/data/23666/000119312511302336/sle-20111001.xml,agrees,False
SLE,0000023666,Sara Lee Corp,03d8f1b555de26a74471d3aab9165373e3ff20e33ce1ea4bfdbed7209dbb6ad0,0001193125-12-044075,2012-02-07,https://www.sec.gov/Archives/edgar/data/23666/000119312512044075/sle-20111231.xml,agrees,False
POM,0001135971,,4619ad437a88da0c9b995c2c96ee474e109cd9fe237e329efa9e003c75111ebb,0001193125-12-075999,2012-02-24,https://www.sec.gov/Archives/edgar/data/1135971/000119312512075999/pom-20111231.xml,agrees,True
