year,as_of,symbol,cik,entity_id,identity_tier,expected_sessions,yahoo_symbol,finsaber_symbol,yahoo_sessions,yahoo_first,yahoo_last,finsaber_sessions,finsaber_first,finsaber_last,overlap_returns,overlap_status,overlap_p99,known_cik_conflict,sec_first_periodic,sec_delisting,listing_check,yahoo_level,finsaber_level,finsaber_adjustment,yahoo_adjustment,level_ratio,selected_source,source_symbol,coverage_status,history,price_attribution,price_source_status,forward_status,identity_valid_from,identity_valid_to,membership_end_reason,sic,public_float_usd,membership_exit_next_365d
2010,2010-12-31,AET,0001122304,cik:0001122304,corroborated_candidate,253,AET,AET,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,2001-02-26,2018-11-29,,missing,passed,sec_dividends_unavailable,not_assessed,"[0.0, 0.9988, 0.9718, 0.9963, 0.9926, 0.9975]",,,archive_sec_dividends_unavailable,,legacy_symbol_unattributed,excluded,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,6324,12600000000.0,False
2010,2010-12-31,AFL,0000004977,cik:0000004977,confirmed_by_multiple_evidence,253,AFL,AFL,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,5.464172116880221e-06,False,1994-03-30,,,passed,passed,not_assessed,not_assessed,"[0.9834, 0.9835]",yahoo,AFL,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1999-05-28,2016-01-01,source_boundary,6321,19757078472.0,False
2010,2010-12-31,AGN,,,,253,AGN,AGN,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,True,,,,,,,,[],,,multiple_ciks_in_window,,legacy_symbol_unattributed,excluded,unknown,1996-01-02,2016-01-01,source_boundary,,,False
2010,2010-12-31,AIG,0000005272,cik:0000005272,corroborated_candidate,253,AIG,AIG,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,4.396177118000114e-06,False,2001-05-15,,,passed,passed,not_assessed,not_assessed,"[0.9448, 0.2951]",yahoo,AIG,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,6331,4397000000.0,False
2010,2010-12-31,AIV,0000922864,cik:0000922864,corroborated_candidate,253,AIV,AIV,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,0.0021166107346426324,False,1996-05-14,,,passed,passed,not_assessed,not_assessed,"[0.76, 0.7618]",yahoo,AIV,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2003-03-14,2016-01-01,source_boundary,6798,2200000000.0,False
2010,2010-12-31,AIZ,0001267238,cik:0001267238,confirmed_by_multiple_evidence,253,AIZ,AIZ,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,3.935208785093016e-06,False,2004-03-30,,,passed,passed,not_assessed,not_assessed,"[1.0057, 1.0005]",yahoo,AIZ,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2007-04-10,2016-01-01,source_boundary,6321,3718000000.0,False
2010,2010-12-31,AKAM,0001086222,cik:0001086222,corroborated_candidate,253,AKAM,AKAM,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,0.00010944099029591039,False,2000-03-03,,,passed,passed,not_assessed,not_assessed,"[1.0002, 0.9866]",yahoo,AKAM,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,2007-07-12,2016-01-01,source_boundary,7389,7369000000.0,False
2010,2010-12-31,AKS,0000918160,cik:0000918160,corroborated_candidate,253,AKS,AKS,0,,,253.0,2009-12-31,2010-12-31,0.0,insufficient_overlap,,False,1996-07-29,2020-03-13,,missing,passed,dividends_reconciled,not_assessed,"[0.9878, 0.9878]",finsaber,AKS,fallback_accredited,full_window,accredited_entity_interval,tier_b,continues_to_next_rebalance,2008-07-01,2011-12-19,exit,3312,1295016252.0,True
2010,2010-12-31,ALL,0000899051,cik:0000899051,corroborated_candidate,253,ALL,ALL,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,4.135601392423194e-06,False,1996-05-14,,,passed,passed,not_assessed,not_assessed,"[0.9936, 0.9942]",yahoo,ALL,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,6331,15360000000.0,False
2010,2010-12-31,ALTR,0000768251,cik:0000768251,corroborated_candidate,253,ALTR,ALTR,0,,,0.0,,,0.0,insufficient_overlap,,False,2007-02-27,2015-12-28,,missing,missing,not_assessed,not_assessed,[],,,incomplete_prices,,legacy_symbol_unattributed,excluded,continues_to_next_rebalance,2000-04-18,2015-12-28,exit,3674,4654517394.0,False
2010,2010-12-31,AMAT,0000006951,cik:0000006951,corroborated_candidate,253,AMAT,AMAT,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,0.00046299780444817207,False,1994-02-28,,,passed,passed,not_assessed,not_assessed,"[1.116, 0.9985]",yahoo,AMAT,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,3674,20652343218.0,False
2010,2010-12-31,AMD,0000002488,cik:0000002488,confirmed_by_multiple_evidence,253,AMD,AMD,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,0.0006636787551431712,False,2003-08-12,,,passed,passed,not_assessed,not_assessed,"[0.8429, 0.8341]",yahoo,AMD,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2013-09-23,exit,3674,4600000000.0,False
2010,2010-12-31,AMGN,0000318154,cik:0000318154,corroborated_candidate,253,AMGN,AMGN,253,2009-12-31,2010-12-31,253.0,2009-12-31,2010-12-31,252.0,consistent_overlap,2.500398469349464e-06,False,2002-11-05,,,passed,passed,not_assessed,not_assessed,"[0.9988, 0.9989]",yahoo,AMGN,complete,full_window,accredited_entity_interval,tier_a,continues_to_next_rebalance,1996-01-02,2016-01-01,source_boundary,2836,50355022164.0,False
