fecha,hasta,retorno,RF,excess_return,Mkt-RF,SMB,HML,RMW,CMA,Mom
2016-07-02,2016-10-03,0.05140631289541142,0.0006001200079999158,0.050806192887411505,0.047313191261999954,0.060980661591999885,0.006170521598000134,-0.02733008636799994,-0.015457110796000095,-0.06508515019600003
2016-10-02,2017-01-03,0.06701510308052808,0.0006001100060000208,0.06641499307452806,0.046021545214999904,0.031000650128000018,0.1670775919999996,0.02058301436799992,0.03657590847999992,-0.04398599591200003
2017-01-02,2017-04-03,0.037858882834894234,0.0011004000479997167,0.03675848278689452,0.057383200790000144,-0.029747516799999985,-0.07407880878399997,0.005573745599999791,-0.037931709232000066,-0.03372539129600005
2017-04-02,2017-07-03,0.02576056575908709,0.0017009601799997665,0.024059605579087325,0.029584161367999906,-0.00108154973199992,-0.043984342144000155,0.004543429805999644,-0.032434383113000065,0.018953906411000032
2017-07-02,2017-10-02,0.06339470819497803,0.0025020705669995813,0.060892637627978446,0.04604762261599982,0.011562685712000143,0.007207133185000103,-0.02083006899999995,-0.009278634519999884,0.03647365606399999
2017-10-02,2018-01-02,0.06199842669875977,0.002602250647999682,0.059396176050760086,0.06557866119999978,-0.032990672034999946,0.0008990294149999745,0.04899565240400028,-0.015047997939999891,0.016697407687999988
2018-01-02,2018-04-02,-0.03857546259921408,0.003403851452000284,-0.04197931405121436,-0.006539288679999977,0.006250850046000123,-0.026104284920000054,-0.006430343049999898,-0.03307928175999997,0.06501705463999996
2018-04-02,2018-07-02,0.030562557442523296,0.0042058827440003554,0.02635667469852294,0.03431972372299996,0.06455361776299973,-0.04895441241399989,-0.035483229406000016,-0.0006901295200000268,0.01987348074499984
2018-07-02,2018-10-02,0.07059894529492114,0.004707363840000145,0.065891581454921,0.06834782431999997,-0.037116023547000054,-0.05100032687200007,0.018424104896000104,-0.008886533535999774,0.03719957218999981
2018-10-02,2019-01-02,-0.12057655517773731,0.0056104564980001825,-0.12618701167573748,-0.1503185249800002,-0.07819372442799999,0.018305667544000093,0.002740463311999841,0.04192604544799994,-0.01700952999999983
2019-01-02,2019-04-02,0.22533212589580937,0.00581119718199985,0.21952092871380952,0.13298637031999982,0.009548662303999977,-0.07082506623999996,0.004140975529999924,-0.039677687650000015,-0.05856030572799997
2019-04-02,2019-07-02,0.03692625496122014,0.006011977938000124,0.030914277023220013,0.03539867792400009,-0.024181851541000055,-0.009982500703999864,0.015471477656999966,-0.00985885542499998,0.020698859096
2019-07-02,2019-10-02,-0.03573409501735529,0.0053093454720001265,-0.04104344048935542,0.0003956223799999048,-0.0473538146500001,0.021758857400000053,0.022265784602000238,0.031191784628000097,0.0316315909460001
2019-10-02,2020-01-02,0.1222409833792876,0.004105582520000262,0.11813540085928734,0.08946264008399996,0.01637320652499974,-0.022187516799999862,-0.011676605259999917,-0.009939412701999939,-0.046677649967999724
2020-01-02,2020-04-02,-0.23924025071932867,0.0037045618720004114,-0.24294481259132908,-0.20483604222499996,-0.12122288027200001,-0.22276724633199996,-0.04171074973699995,-0.03530101656700024,0.1442685589999999
2020-04-02,2020-07-02,0.29656271461601713,0.0002000099999999172,0.2963627046160172,0.22855392576799982,0.06577861208000013,-0.0830687590000001,0.03891741094400025,-0.03620580723999989,-0.06290839789500002
2020-07-02,2020-10-02,0.08039354166385063,0.00030003000099987354,0.08009351166285075,0.09748495445599992,-0.04061203839100003,-0.07016382873599991,0.032218320811999934,-0.024739423128999793,0.11602696897999998
2020-10-02,2021-01-04,0.1171170394673993,0.00030003000099987354,0.11681700946639943,0.15198935782400014,0.17650143447199973,0.046408207399999846,-0.04913522302500006,0.006422823776000008,-0.17223407560000004
