date,top10_q,top20_q,top30_q,top10_sma200_q,buffer13_q,buffer15_q,buffer20_q,top20_semestral,top20_anual,top10_q_cost25,top10_q_cost50,top10_q_cost100,top20_q_cost25,top20_q_cost50,buffer13_q_cost25,buffer13_q_cost50,buffer15_q_cost25,buffer15_q_cost50,buffer20_q_cost25,buffer20_q_cost50,top20_semestral_cost25,top20_semestral_cost50,top20_anual_cost25,top20_anual_cost50
2016-10-03,0.08123236066386563,0.05140631289541142,0.032608846543640935,0.08123236066386563,0.05140631289541142,0.05140631289541142,0.05140631289541142,0.05140631289541142,0.05140631289541142,0.07798785428351351,0.07259117763032674,0.06183845175170655,0.0482513069830488,0.04300349891861788,0.0482513069830488,0.04300349891861788,0.0482513069830488,0.04300349891861788,0.0482513069830488,0.04300349891861788,0.04825130698304925,0.04300349891861788,0.04825130698304925,0.04300349891861788
2017-01-03,0.07871097844387398,0.06701510308052794,0.05603697348436798,0.07871097844387398,0.055570582061809315,0.055570582061809315,0.057370643899517404,0.055832140835134325,0.055832140835134325,0.07685667213462155,0.07377235347598132,0.06762693562162592,0.06542055642372313,0.06276830313573245,0.05416647988613432,0.05183099813888381,0.05416647988613432,0.05183099813888381,0.056102904374396356,0.0539942383723897,0.0558321408351341,0.055832140835134325,0.0558321408351341,0.055832140835134325
2017-04-03,0.04081110949348821,0.037858882834894025,0.024612697718721543,0.04081110949348821,0.03785888283489425,0.024466372255619984,0.024466372255619984,0.037851451441581974,0.036614560747834535,0.038007112563055,0.033343147387423944,0.024050328442754232,0.035649301855958715,0.03197404507281432,0.03564930185595894,0.03197404507281432,0.022439630716979186,0.0190684958010916,0.022439630716979186,0.0190684958010916,0.03563073731351141,0.03193696245736155,0.03661456074783431,0.036614560747834535
2017-07-03,0.02570061729902884,0.02576056575908714,0.03281663973410187,0.02570061729902884,0.028083801952858867,0.03383519191533502,0.027189894202235276,0.04801277063996201,0.05352205092630169,0.02361678303222403,0.020150684212113745,0.013244580164015307,0.023786982246995825,0.02050426653797044,0.02626181786697135,0.02323126165098488,0.0320132078294475,0.028982651613461252,0.025545212880666357,0.02280956922658306,0.048020374396147814,0.048033094421487954,0.053522050926302356,0.05352205092630169
2017-10-02,0.0468981058279101,0.06339470819497794,0.05464696616721598,0.0468981058279101,0.0635292105499099,0.0705402753717328,0.07271382692702621,0.06324017678925964,0.06296162907774905,0.04475816313205683,0.04119873761950332,0.034106682771404495,0.06120938738017201,0.05757448319493008,0.06131440577748615,0.057630460115031035,0.06862318866304595,0.06543444564020762,0.0707955787026604,0.0676049036988633,0.06082334875720807,0.056803372253440454,0.060127502016659395,0.055413420566436944
2018-01-02,0.08169660805762069,0.06199842669875966,0.07264898588347246,0.08169660805762069,0.0621053001271481,0.05828091288101156,0.059404563754778206,0.06345365111280366,0.06344234771227675,0.07935974959828629,0.07547278868316498,0.06772812879205725,0.059888285235714545,0.05637842893292033,0.06015526831876339,0.056911726805943585,0.05633524057465178,0.05309895034139123,0.05762342719517788,0.0546608137925535,0.06348092796436489,0.06352657464419065,0.06345263308239701,0.06346986337548488
2018-04-02,-0.018782226982360983,-0.03857546259921418,-0.03503384514783814,-0.018782226982360983,-0.04361040192769461,-0.043921337183213005,-0.048174965541930126,-0.03816699777110455,-0.03722472592092352,-0.021423641998648102,-0.02581718020714041,-0.03457118105417367,-0.04092651378879819,-0.04483708186229873,-0.04552925009689335,-0.04872092300542352,-0.0459761654717733,-0.04939401785090014,-0.05022979383049042,-0.05364764620961737,-0.0399061179732042,-0.042798844413378,-0.03717353973552817,-0.03708779365669246
2018-07-02,0.03931828423045691,0.030562557442523453,0.018403724539633126,0.03931828423045691,0.024775325335898213,0.024775325335898213,0.029815204972198917,0.012617410563494635,0.013980053487320454,0.037040290375616625,0.03325124057532536,0.025701665816400654,0.028386072722091926,0.024765865855525204,0.0228993827925823,0.019779075991049,0.0228993827925823,0.019779075991049,0.027953317822164037,0.02485638974265547,0.012647096546007264,0.012696712991990822,0.01401310556875468,0.01406846588391164
2018-10-02,0.060422976875772694,0.07059894529492139,0.06787081206185075,0.060422976875772694,0.07089054048602983,0.07089054048602983,0.07821912622230842,0.07058722656170624,0.070491337970076,0.057240914222530304,0.05194810193720967,0.041402322879380726,0.06804917600087013,0.06380807464149396,0.0686709699712591,0.06497909731855,0.0686709699712591,0.06497909731855,0.0764778573587388,0.0735815569908762,0.06801990115144974,0.06374959822137471,0.06778035955342387,0.06327111462882296
2019-01-02,-0.1177272405612394,-0.12057655517773735,-0.13628007448342272,-0.1177272405612394,-0.13854179508338194,-0.13854179508338194,-0.13874626433128934,-0.13873803415851083,-0.13873076717583255,-0.11928471808453978,-0.12187531326375056,-0.12703700102358317,-0.12202196473546234,-0.12442615418680791,-0.1395457058100712,-0.14121553811905252,-0.1395457058100712,-0.14121553811905252,-0.139755109481024,-0.14143314935150264,-0.13870884824072627,-0.138659990456379,-0.13869064177839774,-0.1386234468873767
2019-04-02,0.23671297664422442,0.22533212589580942,0.18758827556609114,0.11835648832211221,0.22557248985285105,0.22557248985285105,0.22557248985285105,0.22485007302847104,0.18142038995367638,0.2344874954282543,0.2307857913437561,0.22341025045770424,0.22277161701809645,0.2185126522139862,0.22339592441112832,0.2197755832786199,0.22339592441112832,0.2197755832786199,0.22339592441112832,0.2197755832786199,0.22156738915102703,0.216107210817438,0.18138041568090024,0.18131348220701238
2019-07-02,0.035053851157408555,0.03692625496121993,0.050265303507980086,0.035053851157408555,0.03692625496122015,0.03692625496122015,0.036861621831606683,0.03836400512858429,0.006030789811754422,0.03323829994143934,0.030218443694825403,0.024201465376603393,0.035351331497963434,0.03273171800723951,0.035351331497963656,0.03273171800723995,0.035351331497963656,0.03273171800723995,0.03543845537591639,0.033071263487642444,0.03835109048805174,0.03832945477781036,0.006072493031618276,0.006142327797773017
2019-10-02,-0.04773447943454889,-0.03573409501735525,-0.06883243564529995,-0.04773447943454889,-0.035881458381694875,-0.035881458381694875,-0.036750374235104966,-0.03622683843526331,-0.03595034608393388,-0.04971914324254423,-0.0530202891123418,-0.05959772906370764,-0.03729990017494944,-0.03990434693720546,-0.037299279953776576,-0.039657581550214815,-0.037299279953776576,-0.039657581550214815,-0.03803200736767476,-0.040163782988883456,-0.038530834363633026,-0.04236313412761705,-0.037840122167809076,-0.040983438677635986
2020-01-02,0.15107882126559402,0.12224098337928746,0.11580545708466561,0.15107882126559402,0.12410271945187756,0.12765850039968285,0.11540121340130871,0.16345755861420175,0.16343470383231717,0.14863324087250152,0.1445654397762186,0.13646046092942132,0.12039168969880709,0.11731570868339891,0.12242902956562096,0.11964513516845354,0.12616063480574669,0.12366919378736618,0.11390334780737255,0.11141190678899227,0.16348192886194912,0.16352272430752768,0.1634247051481983,0.1634079867790892
2020-04-02,-0.20999645353732,-0.23924025071932864,-0.27723260531898364,-0.20999645353732,-0.23924025071932875,-0.23301253911941366,-0.2393451108294159,-0.23929864556311586,-0.19578467582697257,-0.21152763523448914,-0.21407449184322924,-0.21914903173617706,-0.24063634831124858,-0.24295851581429584,-0.24063634831124858,-0.24295851581429584,-0.23419368602428592,-0.236158320140621,-0.240515792955877,-0.24246302071860648,-0.24078222587561193,-0.2432499057926737,-0.1958460576780724,-0.1959486939847399
2020-07-02,0.28920279727367193,0.296562714616017,0.2878004339154694,0.14460139863683596,0.30410579989328834,0.3080620293602476,0.3379229831607429,0.28105868008742196,0.2505853478315052,0.28681590048197236,0.28284570943308585,0.27493521585010994,0.29475877687490737,0.291758237640279,0.3026911427697643,0.3003381046876026,0.3068453314813042,0.30482156445250874,0.33690367669525423,0.33520823623070406,0.2809677134514086,0.28081561611604666,0.2505687028442236,0.2505408651612546
2020-10-02,0.09160259711959262,0.08039354166385082,0.07843940527179694,0.09160259711959262,0.08039354166385082,0.0805001263201901,0.0775729312545359,0.08018838357849156,0.0800622678099332,0.08896840621697111,0.08458688407532833,0.07585682490226886,0.07797417104066207,0.07394996537516163,0.07797417104066207,0.07394996537516163,0.07824043273530679,0.07448182227710509,0.075490275030337,0.07202613568087868,0.07746166069110627,0.07292622755552292,0.07714660785506822,0.07229691050130937
2021-01-04,0.15558821549192237,0.11711703946739926,0.09023740637400568,0.15558821549192237,0.10799770188039903,0.0955268928311317,0.07450745086385546,0.07389042794202827,0.07381411347421918,0.15352974834587774,0.15010584335506527,0.14328380932067342,0.11462010770776443,0.11046689247187436,0.10580979151937209,0.10217058007071467,0.09351367450143999,0.09016503311074775,0.07274095659641788,0.06980269812086104,0.07399311551857801,0.07416507467681543,0.07380198650569492,0.0737816693104083
2021-04-05,0.17290109492542616,0.18828420424371428,0.19114770918126722,0.17290109492542616,0.189226881061209,0.17440021082524804,0.1983381970108813,0.18843613765398426,0.10414584614333999,0.16997648104204566,0.16511189037284413,0.15541933079606673,0.18516787133586043,0.17998438914294002,0.18630025800722616,0.18143232542933085,0.1714735877712652,0.1666056551933699,0.19554381819573674,0.19089585109566576,0.18554741984388223,0.18074253610014024,0.10414905280484432,0.10415442532118147
